"rt","key_press","trial_type","trial_index","trial_index_global","time_elapsed","internal_chunk_id","subject","stimulus","responses"
"127078","68","text","0","0","127081","0-0","s03","",""
"2233","70","single-stim","0","1","130319","0-0","s03","img/Slide15.png",""
"1870","70","single-stim","1","2","132590","0-0","s03","img/Slide14.png",""
"1519","74","single-stim","2","3","134510","0-0","s03","img/Slide20.png",""
"2392","74","single-stim","3","4","137302","0-0","s03","img/Slide25.png",""
"4206","70","single-stim","4","5","141910","0-0","s03","img/Slide07.png",""
"2174","70","single-stim","5","6","144485","0-0","s03","img/Slide15.png",""
"2318","74","single-stim","6","7","147205","0-0","s03","img/Slide24.png",""
"1726","70","single-stim","7","8","149333","0-0","s03","img/Slide14.png",""
"2702","70","single-stim","8","9","152437","0-0","s03","img/Slide04.png",""
"1606","70","single-stim","9","10","154445","0-0","s03","img/Slide10.png",""
"1326","70","single-stim","10","11","156173","0-0","s03","img/Slide29.png",""
"4567","70","single-stim","11","12","161141","0-0","s03","img/Slide13.png",""
"1398","70","single-stim","12","13","162941","0-0","s03","img/Slide10.png",""
"1358","70","single-stim","13","14","164701","0-0","s03","img/Slide04.png",""
"1200","70","single-stim","14","15","166301","0-0","s03","img/Slide13.png",""
"1246","70","single-stim","15","16","167949","0-0","s03","img/Slide27.png",""
"2438","70","single-stim","16","17","170789","0-0","s03","img/Slide09.png",""
"1631","70","single-stim","17","18","172821","0-0","s03","img/Slide27.png",""
"1205","70","single-stim","18","19","174429","0-0","s03","img/Slide05.png",""
"1198","70","single-stim","19","20","176028","0-0","s03","img/Slide30.png",""
"1454","70","single-stim","20","21","177884","0-0","s03","img/Slide09.png",""
"3766","70","single-stim","21","22","182052","0-0","s03","img/Slide28.png",""
"3366","70","single-stim","22","23","185820","0-0","s03","img/Slide12.png",""
"974","70","single-stim","23","24","187196","0-0","s03","img/Slide30.png",""
"2222","70","single-stim","24","25","189820","0-0","s03","img/Slide07.png",""
"1775","74","single-stim","25","26","191996","0-0","s03","img/Slide25.png",""
"1376","74","single-stim","26","27","193772","0-0","s03","img/Slide24.png",""
"1223","70","single-stim","27","28","195396","0-0","s03","img/Slide12.png",""
"3022","70","single-stim","28","29","198820","0-0","s03","img/Slide08.png",""
"3462","70","single-stim","29","30","202683","0-0","s03","img/Slide28.png",""
"2479","70","single-stim","30","31","205563","0-0","s03","img/Slide08.png",""
"1671","74","single-stim","31","32","207635","0-0","s03","img/Slide22.png",""
"1311","70","single-stim","32","33","209347","0-0","s03","img/Slide15.png",""
"1190","70","single-stim","33","34","210939","0-0","s03","img/Slide13.png",""
"1094","70","single-stim","34","35","212435","0-0","s03","img/Slide07.png",""
"846","70","single-stim","35","36","213683","0-0","s03","img/Slide30.png",""
"1542","74","single-stim","36","37","215627","0-0","s03","img/Slide23.png",""
"1950","74","single-stim","37","38","217979","0-0","s03","img/Slide20.png",""
"1478","74","single-stim","38","39","219859","0-0","s03","img/Slide18.png",""
"1046","70","single-stim","39","40","221307","0-0","s03","img/Slide12.png",""
"5479","74","single-stim","40","41","227187","0-0","s03","img/Slide19.png",""
"1359","74","single-stim","41","42","228947","0-0","s03","img/Slide25.png",""
"1454","74","single-stim","42","43","230803","0-0","s03","img/Slide18.png",""
"1389","74","single-stim","43","44","232594","0-0","s03","img/Slide19.png",""
"1239","70","single-stim","44","45","234234","0-0","s03","img/Slide12.png",""
"998","70","single-stim","45","46","235634","0-0","s03","img/Slide02.png",""
"1030","74","single-stim","46","47","237066","0-0","s03","img/Slide22.png",""
"2046","70","single-stim","47","48","239514","0-0","s03","img/Slide14.png",""
"1182","70","single-stim","48","49","241098","0-0","s03","img/Slide28.png",""
"1087","70","single-stim","49","50","242586","0-0","s03","img/Slide05.png",""
"3118","74","single-stim","50","51","246106","0-0","s03","img/Slide19.png",""
"2326","74","single-stim","51","52","248834","0-0","s03","img/Slide20.png",""
"776","70","single-stim","52","53","250010","0-0","s03","img/Slide12.png",""
"1678","74","single-stim","53","54","252090","0-0","s03","img/Slide22.png",""
"1223","70","single-stim","54","55","253714","0-0","s03","img/Slide03.png",""
"1222","74","single-stim","55","56","255338","0-0","s03","img/Slide23.png",""
"1511","70","single-stim","56","57","257250","0-0","s03","img/Slide07.png",""
"1470","74","single-stim","57","58","259122","0-0","s03","img/Slide18.png",""
"2207","74","single-stim","58","59","261729","0-0","s03","img/Slide22.png",""
"1270","70","single-stim","59","60","263401","0-0","s03","img/Slide28.png",""
"2798","70","single-stim","60","61","266601","0-0","s03","img/Slide09.png",""
"1223","70","single-stim","61","62","268225","0-0","s03","img/Slide08.png",""
