rt,key_press,trial_type,trial_index,trial_index_global,time_elapsed,internal_chunk_id,subject,stimulus,responses
3015283,32,text,0,0,3015287,0-0,s22,,
2745,70,single-stim,0,1,3019037,0-0,s22,img/Slide08.png,
1340,70,single-stim,1,2,3020780,0-0,s22,img/Slide08.png,
1254,70,single-stim,2,3,3022436,0-0,s22,img/Slide15.png,
1191,70,single-stim,3,4,3024028,0-0,s22,img/Slide10.png,
1150,70,single-stim,4,5,3025580,0-0,s22,img/Slide05.png,
1910,70,single-stim,5,6,3027892,0-0,s22,img/Slide14.png,
1039,74,single-stim,6,7,3029332,0-0,s22,img/Slide22.png,
1279,70,single-stim,7,8,3031012,0-0,s22,img/Slide28.png,
1046,70,single-stim,8,9,3032460,0-0,s22,img/Slide05.png,
983,70,single-stim,9,10,3033844,0-0,s22,img/Slide27.png,
1095,70,single-stim,10,11,3035340,0-0,s22,img/Slide14.png,
1094,70,single-stim,11,12,3036836,0-0,s22,img/Slide14.png,
966,70,single-stim,12,13,3038204,0-0,s22,img/Slide27.png,
1214,74,single-stim,13,14,3039819,0-0,s22,img/Slide19.png,
1022,70,single-stim,14,15,3041243,0-0,s22,img/Slide12.png,
854,70,single-stim,15,16,3042499,0-0,s22,img/Slide03.png,
846,74,single-stim,16,17,3043747,0-0,s22,img/Slide17.png,
790,70,single-stim,17,18,3044939,0-0,s22,img/Slide03.png,
846,70,single-stim,18,19,3046187,0-0,s22,img/Slide09.png,
854,70,single-stim,19,20,3047443,0-0,s22,img/Slide07.png,
750,70,single-stim,20,21,3048595,0-0,s22,img/Slide30.png,
966,70,single-stim,21,22,3049963,0-0,s22,img/Slide10.png,
727,70,single-stim,22,23,3051091,0-0,s22,img/Slide05.png,
870,70,single-stim,23,24,3052363,0-0,s22,img/Slide29.png,
814,74,single-stim,24,25,3053579,0-0,s22,img/Slide23.png,
662,70,single-stim,25,26,3054643,0-0,s22,img/Slide02.png,
790,70,single-stim,26,27,3055835,0-0,s22,img/Slide09.png,
1102,70,single-stim,27,28,3057339,0-0,s22,img/Slide15.png,
631,70,single-stim,28,29,3058371,0-0,s22,img/Slide02.png,
718,74,single-stim,29,30,3059491,0-0,s22,img/Slide25.png,
862,74,single-stim,30,31,3060755,0-0,s22,img/Slide24.png,
782,74,single-stim,31,32,3061939,0-0,s22,img/Slide24.png,
982,70,single-stim,32,33,3063323,0-0,s22,img/Slide28.png,
1198,74,single-stim,33,34,3064923,0-0,s22,img/Slide20.png,
943,70,single-stim,34,35,3066267,0-0,s22,img/Slide12.png,
966,74,single-stim,35,36,3067635,0-0,s22,img/Slide23.png,
823,70,single-stim,36,37,3068859,0-0,s22,img/Slide04.png,
758,74,single-stim,37,38,3070018,0-0,s22,img/Slide18.png,
1022,70,single-stim,38,39,3071442,0-0,s22,img/Slide14.png,
686,74,single-stim,39,40,3072530,0-0,s22,img/Slide22.png,
775,70,single-stim,40,41,3073706,0-0,s22,img/Slide04.png,
