"rt","key_press","trial_type","trial_index","trial_index_global","time_elapsed","internal_chunk_id","subject","stimulus","responses"
2422572,32,"text",0,0,2422574,"0-0","s01","",""
4305,70,"single-stim",0,1,2427884,"0-0","s01","img/Slide10.png",""
1677,70,"single-stim",1,2,2429964,"0-0","s01","img/Slide30.png",""
1527,74,"single-stim",2,3,2431892,"0-0","s01","img/Slide25.png",""
5246,70,"single-stim",3,4,2437540,"0-0","s01","img/Slide08.png",""
2663,70,"single-stim",4,5,2440603,"0-0","s01","img/Slide12.png",""
1566,70,"single-stim",5,6,2442571,"0-0","s01","img/Slide03.png",""
1294,70,"single-stim",6,7,2444267,"0-0","s01","img/Slide27.png",""
2838,70,"single-stim",7,8,2447507,"0-0","s01","img/Slide14.png",""
1574,70,"single-stim",8,9,2449483,"0-0","s01","img/Slide28.png",""
1135,74,"single-stim",9,10,2451019,"0-0","s01","img/Slide25.png",""
1558,70,"single-stim",10,11,2452979,"0-0","s01","img/Slide02.png",""
1566,70,"single-stim",11,12,2454947,"0-0","s01","img/Slide29.png",""
1383,74,"single-stim",12,13,2456731,"0-0","s01","img/Slide19.png",""
1118,70,"single-stim",13,14,2458251,"0-0","s01","img/Slide28.png",""
821,70,"single-stim",14,15,2459475,"0-0","s01","img/Slide05.png",""
991,70,"single-stim",15,16,2460867,"0-0","s01","img/Slide04.png",""
679,70,"single-stim",16,17,2461947,"0-0","s01","img/Slide02.png",""
1391,74,"single-stim",17,18,2463739,"0-0","s01","img/Slide17.png",""
2094,70,"single-stim",18,19,2466235,"0-0","s01","img/Slide10.png",""
1046,70,"single-stim",19,20,2467682,"0-0","s01","img/Slide02.png",""
990,70,"single-stim",20,21,2469074,"0-0","s01","img/Slide27.png",""
1830,70,"single-stim",21,22,2471307,"0-0","s01","img/Slide10.png",""
910,74,"single-stim",22,23,2472618,"0-0","s01","img/Slide19.png",""
942,70,"single-stim",23,24,2473962,"0-0","s01","img/Slide03.png",""
1070,70,"single-stim",24,25,2475434,"0-0","s01","img/Slide07.png",""
1574,70,"single-stim",25,26,2477410,"0-0","s01","img/Slide13.png",""
2271,70,"single-stim",26,27,2480082,"0-0","s01","img/Slide08.png",""
1558,74,"single-stim",27,28,2482042,"0-0","s01","img/Slide20.png",""
3623,70,"single-stim",28,29,2486066,"0-0","s01","img/Slide12.png",""
790,70,"single-stim",29,30,2487258,"0-0","s01","img/Slide05.png",""
910,74,"single-stim",30,31,2488570,"0-0","s01","img/Slide24.png",""
1070,74,"single-stim",31,32,2490042,"0-0","s01","img/Slide19.png",""
1016,70,"single-stim",32,33,2491458,"0-0","s01","img/Slide03.png",""
807,74,"single-stim",33,34,2492666,"0-0","s01","img/Slide22.png",""
1070,74,"single-stim",34,35,2494138,"0-0","s01","img/Slide24.png",""
1287,74,"single-stim",35,36,2495826,"0-0","s01","img/Slide22.png",""
838,70,"single-stim",36,37,2497065,"0-0","s01","img/Slide04.png",""
919,70,"single-stim",37,38,2498385,"0-0","s01","img/Slide05.png",""
902,70,"single-stim",38,39,2499689,"0-0","s01","img/Slide29.png",""
1182,74,"single-stim",39,40,2501273,"0-0","s01","img/Slide17.png",""
702,74,"single-stim",40,41,2502377,"0-0","s01","img/Slide22.png",""
1990,70,"single-stim",41,42,2504769,"0-0","s01","img/Slide30.png",""
1502,70,"single-stim",42,43,2506673,"0-0","s01","img/Slide15.png",""
1494,70,"single-stim",43,44,2508569,"0-0","s01","img/Slide28.png",""
934,74,"single-stim",44,45,2509905,"0-0","s01","img/Slide20.png",""
1543,70,"single-stim",45,46,2511849,"0-0","s01","img/Slide13.png",""
3854,74,"single-stim",46,47,2516105,"0-0","s01","img/Slide18.png",""
1087,74,"single-stim",47,48,2517593,"0-0","s01","img/Slide24.png",""
871,74,"single-stim",48,49,2518865,"0-0","s01","img/Slide18.png",""
1983,70,"single-stim",49,50,2521249,"0-0","s01","img/Slide12.png",""
1414,74,"single-stim",50,51,2523065,"0-0","s01","img/Slide20.png",""
982,70,"single-stim",51,52,2524449,"0-0","s01","img/Slide03.png",""
982,70,"single-stim",52,53,2525832,"0-0","s01","img/Slide28.png",""
830,70,"single-stim",53,54,2527065,"0-0","s01","img/Slide30.png",""
895,70,"single-stim",54,55,2528360,"0-0","s01","img/Slide05.png",""
990,74,"single-stim",55,56,2529752,"0-0","s01","img/Slide18.png",""
951,70,"single-stim",56,57,2531104,"0-0","s01","img/Slide05.png",""
4110,70,"single-stim",57,58,2535616,"0-0","s01","img/Slide15.png",""
1302,70,"single-stim",58,59,2537320,"0-0","s01","img/Slide28.png",""
2910,70,"single-stim",59,60,2540632,"0-0","s01","img/Slide08.png",""
766,70,"single-stim",60,61,2541800,"0-0","s01","img/Slide04.png",""
574,70,"single-stim",61,62,2542776,"0-0","s01","img/Slide27.png",""
766,74,"single-stim",62,63,2543944,"0-0","s01","img/Slide18.png",""
5182,70,"single-stim",63,64,2549528,"0-0","s01","img/Slide09.png",""
3998,74,"single-stim",64,65,2553928,"0-0","s01","img/Slide19.png",""
4060,70,"single-stim",65,66,2558391,"0-0","s01","img/Slide12.png",""
1494,70,"single-stim",66,67,2560287,"0-0","s01","img/Slide09.png",""
1174,74,"single-stim",67,68,2561863,"0-0","s01","img/Slide23.png",""
1326,70,"single-stim",68,69,2563591,"0-0","s01","img/Slide12.png",""
1246,70,"single-stim",69,70,2565239,"0-0","s01","img/Slide29.png",""
2414,70,"single-stim",70,71,2568055,"0-0","s01","img/Slide27.png",""
1262,74,"single-stim",71,72,2569719,"0-0","s01","img/Slide23.png",""
2983,70,"single-stim",72,73,2573103,"0-0","s01","img/Slide13.png",""
3062,70,"single-stim",73,74,2576567,"0-0","s01","img/Slide15.png",""
1390,74,"single-stim",74,75,2578359,"0-0","s01","img/Slide17.png",""
965,74,"single-stim",75,76,2579727,"0-0","s01","img/Slide25.png",""
583,74,"single-stim",76,77,2580711,"0-0","s01","img/Slide25.png",""
1215,74,"single-stim",77,78,2582327,"0-0","s01","img/Slide17.png",""
990,70,"single-stim",78,79,2583719,"0-0","s01","img/Slide08.png",""
998,74,"single-stim",79,80,2585119,"0-0","s01","img/Slide18.png",""
1071,70,"single-stim",80,81,2586590,"0-0","s01","img/Slide09.png",""
734,74,"single-stim",81,82,2587726,"0-0","s01","img/Slide23.png",""
1094,70,"single-stim",82,83,2589222,"0-0","s01","img/Slide30.png",""
631,70,"single-stim",83,84,2590254,"0-0","s01","img/Slide27.png",""
934,70,"single-stim",84,85,2591590,"0-0","s01","img/Slide09.png",""
798,74,"single-stim",85,86,2592790,"0-0","s01","img/Slide17.png",""
726,70,"single-stim",86,87,2593918,"0-0","s01","img/Slide04.png",""
687,70,"single-stim",87,88,2595006,"0-0","s01","img/Slide10.png",""
958,70,"single-stim",88,89,2596366,"0-0","s01","img/Slide14.png",""
1894,74,"single-stim",89,90,2598662,"0-0","s01","img/Slide23.png",""
1198,74,"single-stim",90,91,2600262,"0-0","s01","img/Slide20.png",""
878,70,"single-stim",91,92,2601542,"0-0","s01","img/Slide14.png",""
1134,70,"single-stim",92,93,2603078,"0-0","s01","img/Slide09.png",""
783,70,"single-stim",93,94,2604262,"0-0","s01","img/Slide02.png",""
1223,70,"single-stim",94,95,2605886,"0-0","s01","img/Slide30.png",""
1710,70,"single-stim",95,96,2607998,"0-0","s01","img/Slide15.png",""
1934,70,"single-stim",96,97,2610334,"0-0","s01","img/Slide08.png",""
2031,70,"single-stim",97,98,2612766,"0-0","s01","img/Slide13.png",""
663,70,"single-stim",98,99,2613830,"0-0","s01","img/Slide29.png",""
902,74,"single-stim",99,100,2615134,"0-0","s01","img/Slide19.png",""
1054,74,"single-stim",100,101,2616590,"0-0","s01","img/Slide20.png",""
694,70,"single-stim",101,102,2617686,"0-0","s01","img/Slide03.png",""
630,70,"single-stim",102,103,2618717,"0-0","s01","img/Slide07.png",""
718,74,"single-stim",103,104,2619837,"0-0","s01","img/Slide22.png",""
1166,70,"single-stim",104,105,2621405,"0-0","s01","img/Slide07.png",""
630,70,"single-stim",105,106,2622437,"0-0","s01","img/Slide04.png",""
655,70,"single-stim",106,107,2623493,"0-0","s01","img/Slide14.png",""
806,70,"single-stim",107,108,2624701,"0-0","s01","img/Slide02.png",""
1167,70,"single-stim",108,109,2626269,"0-0","s01","img/Slide15.png",""
622,70,"single-stim",109,110,2627293,"0-0","s01","img/Slide07.png",""
695,74,"single-stim",110,111,2628389,"0-0","s01","img/Slide22.png",""
1022,70,"single-stim",111,112,2629813,"0-0","s01","img/Slide13.png",""
758,70,"single-stim",112,113,2630973,"0-0","s01","img/Slide10.png",""
710,74,"single-stim",113,114,2632085,"0-0","s01","img/Slide25.png",""
855,74,"single-stim",114,115,2633341,"0-0","s01","img/Slide24.png",""
1014,70,"single-stim",115,116,2634757,"0-0","s01","img/Slide07.png",""
694,70,"single-stim",116,117,2635853,"0-0","s01","img/Slide14.png",""
1542,74,"single-stim",117,118,2637797,"0-0","s01","img/Slide23.png",""
863,74,"single-stim",118,119,2639061,"0-0","s01","img/Slide24.png",""
678,70,"single-stim",119,120,2640141,"0-0","s01","img/Slide29.png",""
218631,NA,"survey-text",0,121,2859177,"0-0","s01","","{""Q0"":""I'm not necessarily sure I chose the correct way to think about the question but after I decided my answer for several of them, following that criteria for the rest was easy."",""Q1"":""I compared the largest red dot to the largest blue dot, and the second largest red dot to the second largest blue dot and so on. So I would say it was accurate if the order in size of dots was red, blue, red, blue, red, blue, etc. I also much more highly valued the comparison of the two largest dots of each color. So for example (depending on the size of the dots in question, this wasn't a hard and fast thing) I might answer that the largest dots were red if the order in size was red, blue, red, blue, blue, blue, red, red."",""Q2"":""""}"
47745,49,"single-stim",0,122,2907924,"0-0","s01","<p style=""font-size:30px; text-align:center"">Thanks for participating!</p>",""
1155452,32,"text",0,0,1155456,"0-0","s02","",""
3746,70,"single-stim",0,1,1160222,"0-0","s02","img/Slide30.png",""
1638,74,"single-stim",1,2,1162261,"0-0","s02","img/Slide24.png",""
1222,74,"single-stim",2,3,1163885,"0-0","s02","img/Slide24.png",""
1263,70,"single-stim",3,4,1165549,"0-0","s02","img/Slide03.png",""
1063,70,"single-stim",4,5,1167013,"0-0","s02","img/Slide14.png",""
1039,70,"single-stim",5,6,1168453,"0-0","s02","img/Slide04.png",""
2366,70,"single-stim",6,7,1171221,"0-0","s02","img/Slide09.png",""
1270,70,"single-stim",7,8,1172892,"0-0","s02","img/Slide29.png",""
1143,70,"single-stim",8,9,1174452,"0-0","s02","img/Slide08.png",""
1316,70,"single-stim",9,10,1176172,"0-0","s02","img/Slide05.png",""
1086,70,"single-stim",10,11,1177660,"0-0","s02","img/Slide09.png",""
1062,70,"single-stim",11,12,1179124,"0-0","s02","img/Slide10.png",""
1214,74,"single-stim",12,13,1180740,"0-0","s02","img/Slide17.png",""
1286,70,"single-stim",13,14,1182428,"0-0","s02","img/Slide28.png",""
870,70,"single-stim",14,15,1183700,"0-0","s02","img/Slide14.png",""
1846,74,"single-stim",15,16,1185948,"0-0","s02","img/Slide22.png",""
822,70,"single-stim",16,17,1187172,"0-0","s02","img/Slide28.png",""
870,74,"single-stim",17,18,1188444,"0-0","s02","img/Slide20.png",""
1182,70,"single-stim",18,19,1190028,"0-0","s02","img/Slide15.png",""
774,70,"single-stim",19,20,1191204,"0-0","s02","img/Slide05.png",""
902,74,"single-stim",20,21,1192540,"0-0","s02","img/Slide20.png",""
774,70,"single-stim",21,22,1193719,"0-0","s02","img/Slide29.png",""
788,70,"single-stim",22,23,1194908,"0-0","s02","img/Slide04.png",""
782,70,"single-stim",23,24,1196092,"0-0","s02","img/Slide07.png",""
918,74,"single-stim",24,25,1197412,"0-0","s02","img/Slide24.png",""
662,70,"single-stim",25,26,1198476,"0-0","s02","img/Slide14.png",""
950,70,"single-stim",26,27,1199828,"0-0","s02","img/Slide07.png",""
711,70,"single-stim",27,28,1200940,"0-0","s02","img/Slide15.png",""
950,70,"single-stim",28,29,1202292,"0-0","s02","img/Slide08.png",""
774,70,"single-stim",29,30,1203468,"0-0","s02","img/Slide02.png",""
871,74,"single-stim",30,31,1204740,"0-0","s02","img/Slide23.png",""
886,74,"single-stim",31,32,1206027,"0-0","s02","img/Slide18.png",""
679,74,"single-stim",32,33,1207107,"0-0","s02","img/Slide24.png",""
1415,70,"single-stim",33,34,1208923,"0-0","s02","img/Slide13.png",""
822,70,"single-stim",34,35,1210147,"0-0","s02","img/Slide03.png",""
982,70,"single-stim",35,36,1211531,"0-0","s02","img/Slide07.png",""
726,74,"single-stim",36,37,1212659,"0-0","s02","img/Slide17.png",""
758,70,"single-stim",37,38,1213819,"0-0","s02","img/Slide02.png",""
1966,70,"single-stim",38,39,1216187,"0-0","s02","img/Slide07.png",""
967,70,"single-stim",39,40,1217555,"0-0","s02","img/Slide13.png",""
1022,74,"single-stim",40,41,1218979,"0-0","s02","img/Slide17.png",""
1222,74,"single-stim",41,42,1220603,"0-0","s02","img/Slide20.png",""
831,70,"single-stim",42,43,1221835,"0-0","s02","img/Slide10.png",""
1006,70,"single-stim",43,44,1223243,"0-0","s02","img/Slide13.png",""
758,70,"single-stim",44,45,1224403,"0-0","s02","img/Slide15.png",""
854,74,"single-stim",45,46,1225659,"0-0","s02","img/Slide20.png",""
607,74,"single-stim",46,47,1226667,"0-0","s02","img/Slide22.png",""
775,74,"single-stim",47,48,1227843,"0-0","s02","img/Slide25.png",""
735,70,"single-stim",48,49,1228979,"0-0","s02","img/Slide27.png",""
1014,74,"single-stim",49,50,1230395,"0-0","s02","img/Slide23.png",""
805,70,"single-stim",50,51,1231603,"0-0","s02","img/Slide15.png",""
726,70,"single-stim",51,52,1232730,"0-0","s02","img/Slide05.png",""
614,74,"single-stim",52,53,1233746,"0-0","s02","img/Slide22.png",""
806,74,"single-stim",53,54,1234954,"0-0","s02","img/Slide25.png",""
790,70,"single-stim",54,55,1236146,"0-0","s02","img/Slide13.png",""
750,70,"single-stim",55,56,1237298,"0-0","s02","img/Slide12.png",""
686,70,"single-stim",56,57,1238386,"0-0","s02","img/Slide03.png",""
583,74,"single-stim",57,58,1239370,"0-0","s02","img/Slide22.png",""
719,70,"single-stim",58,59,1240490,"0-0","s02","img/Slide18.png",""
967,70,"single-stim",59,60,1241858,"0-0","s02","img/Slide12.png",""
758,70,"single-stim",60,61,1243018,"0-0","s02","img/Slide03.png",""
766,70,"single-stim",61,62,1244186,"0-0","s02","img/Slide29.png",""
574,74,"single-stim",62,63,1245162,"0-0","s02","img/Slide22.png",""
774,74,"single-stim",63,64,1246338,"0-0","s02","img/Slide19.png",""
830,74,"single-stim",64,65,1247589,"0-0","s02","img/Slide25.png",""
699,74,"single-stim",65,66,1248690,"0-0","s02","img/Slide23.png",""
638,70,"single-stim",66,67,1249730,"0-0","s02","img/Slide09.png",""
598,70,"single-stim",67,68,1250730,"0-0","s02","img/Slide28.png",""
679,70,"single-stim",68,69,1251810,"0-0","s02","img/Slide10.png",""
695,70,"single-stim",69,70,1252906,"0-0","s02","img/Slide15.png",""
606,70,"single-stim",70,71,1253914,"0-0","s02","img/Slide28.png",""
694,70,"single-stim",71,72,1255010,"0-0","s02","img/Slide05.png",""
726,70,"single-stim",72,73,1256138,"0-0","s02","img/Slide14.png",""
